# @@@    : I don't know what to do here.
# note.1 : I've kept the ending of the compound verb against the etymologies.
#          e.g. ἀναβάλλομαι is ἀνά+βάλλομαι not ἀνά+βάλλω
# note.2 : The etymologies I've looked at don't given the immediate analysis so
#          I've inferred it.
#          e.g. ἀναλογίζομαι is ἀνά+λογίζομαι not ἀνά+λογία (or similar)
# note.3 : I break down all preverbs individually.
# note.4 : How to handle ambiguity?
#          e.g. σύνειμι could be σύν+εἰμί or σύν+εἶμι
# note.5 : augments as καθίζω not κατά+ἵζω
# note.6 : augments as διά+ἀνοίγω not διά+ἀνά+οἴγω

ἀμφιάζω|@@@
ἐκπληρόω|ἐκ+πληρόω
ἐκπλήσσομαι|ἐκ+πλήσσομαι # note.1
ἐκπνέω|ἐκ+πνέω
ἐκπορεύομαι|ἐκ+πορεύομαι
ἐκπορνεύω|ἐκ+πορνεύω
ἐκπτύω|ἐκ+πτύω
ἐκριζόω|ἐκ+ῥίζα
ἐκστρέφομαι|ἐκ+στρέφομαι # note.1
ἐκταράσσω|ἐκ+ταράσσω
ἐκτείνω|ἐκ+τείνω
ἐκτελέω|ἐκ+τελέω
ἐκτίθημι|ἐκ+τίθημι
ἐκτινάσσω|ἐκ+τινάσσω
ἐκτρέπομαι|ἐκ+τρέπομαι # note.1
ἐκτρέφω|ἐκ+τρέφω
ἐκφέρω|ἐκ+φέρω
ἐκφεύγω|ἐκ+φεύγω
ἐκφοβέω|ἐκ+φοβέω # note.2
ἐκφύω|ἐκ+φύω
ἐκχέω|ἐκ+χέω
ἐκχωρέω|ἐκ+χωρέω
ἐκψύχω|ἐκ+ψύχω
ἐξαγγέλλω|ἐκ+ἀγγέλλω
ἐξαγοράζω|ἐκ+ἀγοράζω # note.2
ἐξάγω|ἐκ+ἄγω
ἐξαιρέω|ἐκ+αἱρέω
ἐξαίρω|ἐκ+αἴρω
ἐξαιτέομαι|ἐκ+αἰτέομαι # note.1
ἐξακολουθέω|ἐκ+ἀκολουθέω
ἐξαλείφω|ἐκ+ἀλείφω
ἐξάλλομαι|ἐκ+ἅλλομαι
ἐξανατέλλω|ἐκ+ἀνά+τέλλω # note.3
ἐξανίστημι|ἐκ+ἀνά+ἵστημι # note.3
ἐξαπατάω|ἐκ+ἀπατάω
ἐξαπορέομαι|ἐκ+ἀπορέομαι # note.1
ἐξαποστέλλω|ἐκ+ἀπό+στέλλω # note.3
ἐξαρτίζω|ἐκ+ἀρτίζω
ἐξαστράπτω|ἐκ+ἀστράπτω
ἐξεγείρω|ἐκ+ἐγείρω
ἔξειμι|ἐκ+εἰμί
ἐξέλκω|ἐκ+ἕλκω
ἐξεραυνάω|ἐκ+ἐραυνάω # note.2
ἐξέρχομαι|ἐκ+ἔρχομαι
ἔξεστι(ν)|ἐκ+ἔστι(ν) # @@@
ἐξετάζω|ἐκ+ἐτάζω
ἐξηγέομαι|ἐκ+ἡγέομαι
ἐξηχέομαι|ἐκ+ἠχέω
ἐξίστημι|ἐκ+ἵστημι
ἐξισχύω|ἐκ+ἴσχυω # check accentuation
ἐξολεθρεύω|ἐκ+ὀλεθρεύω
ἐξομολογέω|ἐκ+ὁμολογέω
ἐξορκίζω|ἐκ+ὁρκίζω
ἐξορύσσω|ἐκ+ὀρύσσω
ἐξουδενέω|ἐκ+οὐδενέω # note.2
ἐξουθενέω|ἐκ+οὐθενέω # note.2
ἐξουσιάζω|ἐκ+οὐσιάζω # note.2
ἐξυπνίζω|ἐκ+ὑπνίζω # note.2
ἐξωθέω|ἐκ+ὠθέω
ἐγγράφω|ἐν+γράφω
ἐγκαινίζω|ἐν+καινίζω # note.2
ἐγκακέω|ἐν+κακέω # note.2
ἐγκαλέω|ἐν+καλέω
ἐγκατοικέω|ἐν+κατά+οἰκέω # note.3
ἐγκαυχάομαι|ἐν+καυχάομαι
ἐγκεντρίζω|ἐν+κεντρίζω
ἐγκομβόομαι|ἐν+κομβόομαι # note.2
ἐγκόπτω|ἐν+κόπτω
ἐγκρατεύομαι|ἐν+κρατεύομαι # note.2
ἐγκρίνω|ἐν+κρίνω
ἐγκρύπτω|ἐν+κρύπτω
ἐγχρίω|ἐν+χρίω
ἐμβαίνω|ἐν+βαίνω
ἐμβάλλω|ἐν+βάλλω
ἐμβάπτω|ἐν+βάπτω
ἐμβατεύω|ἐν+βατεύω
ἐμβιβάζω|ἐν+βιβάζω
ἐμβλέπω|ἐν+βλέπω
ἐμβριμάομαι|ἐν+βριμάομαι
ἐμμαίνομαι|ἐν+μαίνομαι
ἐμμένω|ἐν+μένω
ἐμπαίζω|ἐν+παίξω
ἐμπεριπατέω|ἐν+περί+πατέω # note.3
ἐμπίμπλημι|ἐν+πίμπλημι
ἐμπίμπρημι|ἐν+πίμπρημι
ἐμπίπτω|ἐν+πίπτω
ἐμπλέκομαι|ἐν+πλέκομαι # note.1
ἐμπνέω|ἐν+πνέω
ἐμπορεύομαι|ἐν+πορεύομαι # note.2
ἐμπτύω|ἐν+πτύω
ἐμφανίζω|ἐν+φανίζω # note.2
ἐμφυσάω|ἐν+φυσάω # note.2
ἐναγκαλίζομαι|ἐν+ἀγκάλη
ἐνάρχομαι|ἐν+ἄρχομαι
ἐνδείκνυμι|ἐν+δείκνυμι
ἐνδέχεται|ἐν+δέχεται
ἐνδημέω|ἐν+δημέω # note.2
ἐνδιδύσκω|ἐν+διδύσκω # note.2
ἐνδοξάζομαι|ἐν+δοξάζομαι # note.2
ἐνδυναμόω|ἐν+δυναμόω
ἐνδύνω|ἐν+δύνω # note.2
ἐνδύω|ἐν+δύω
ἐνεδρεύω|ἐν+εδρεύω # note.2
ἐνειλέω|ἐν+εἰλέω
ἔνειμι|ἐν+εἰμί
ἐνεργέω|ἐν+ἔργέω # note.2
ἐνευλογέω|ἐν+εὐλογέω
ἐνέχω|ἐν+ἔχω
ἐνθυμέομαι|ἐν+θυμέομαι # note.2
ἐνίστημι|ἐν+ἵστημι
ἐνισχύω|ἐν+ἰσχύω
ἐννεύω|ἐν+νεύω
ἐνοικέω|ἐν+οἰκέω
ἐνορκίζω|ἐν+ὁρκίζω
ἐνοχλέω|ἐν+ὀχλέω # note.2
ἐνταφιάζω|ἐν+ταφιάζω # note.2
ἐντέλλομαι|ἐν+τέλλομαι # note.1
ἐντρέπω|ἐν+τρέπω
ἐντρέφομαι|ἐν+τρέφομαι # note.1
ἐντρυφάω|ἐν+τρυφάω
ἐντυγχάνω|ἐν+τυγχάνω
ἐντυλίσσω|ἐν+τυλίσσω
ἐντυπόω|ἐν+τύπος
ἐνυβρίζω|ἐν+ὑβρίζω # note.2
ἐνυπνιάζομαι|ἐν+ὑπνιάζομαι # note.2
ἐνωτίζομαι|ἐν+ὠτίζομαι # note.2
