ἀγραυλέω verb PA M n=3c(5b-OU) ἀγραυλ NP ἀγραυλοῦντες ἀγραυλ οῦντες ουντ+ες
ἀγριέλαιος n-2b -- F n-2b ἀγριελαι NS ἀγριέλαιος ἀγριέλαι ος ο+ς
ἀγριέλαιος n-2b -- F n-2b ἀγριελαι GS ἀγριελαίου ἀγριελαί ου ο+ιο
ἄγριος a-1a(1) -- N n-2c ἀγρι NS ἄγριον ἄγρι ον ο+ν
ἄγριος a-1a(1) -- N n-2c ἀγρι AS ἄγριον ἄγρι ον ο+ν
ἄγριος a-1a(1) -- N n-2c ἀγρι NP ἄγρια ἄγρι α α
ἀγρός n-2a -- M n-2a ἀγρ NS ἀγρός ἀγρ ός ο+ς
ἀγρός n-2a -- M n-2a ἀγρ GS ἀγροῦ ἀγρ οῦ ο+ιο
ἀγρός n-2a -- M n-2a ἀγρ DS ἀγρῷ ἀγρ ῷ ο+ι
ἀγρός n-2a -- M n-2a ἀγρ AS ἀγρόν ἀγρ όν ο+ν
ἀγρός n-2a -- M n-2a ἀγρ GP ἀγρῶν ἀγρ ῶν +ων
ἀγρός n-2a -- M n-2a ἀγρ AP ἀγρούς ἀγρ ούς ο+νς
ἀγρυπνέω verb PA M n=3c(5b-OU) ἀγρυπν NP ἀγρυπνοῦντες ἀγρυπν οῦντες ουντ+ες
ἀγρυπνία n-1a -- F n-1a ἀγρυπνι DP ἀγρυπνίαις ἀγρυπνί αις α+ις
ἄγω verb PA M n-3c(5b) ἀγ NP ἄγοντες ἄγ οντες οντ+ες
ἄγω verb PM N n-2c ἀγομεν AP ἀγόμενα ἀγόμεν α α
ἄγω verb AA M n=3c(5a-2A) ἀγαγ AS ἀγαγόντα ἀγαγ όντα οντ+α
ἄγω verb AA M n=3c(5a-2A) ἀγαγ NP ἀγαγόντες ἀγαγ όντες οντ+ες
ἄγω verb FA M n-3c(5b) ἀξ NS ἄξων ἄξ ων οντ+
ἀγωγή n-1b -- F n-1b ἀγωγ DS ἀγωγῇ ἀγωγ ῇ η+ι
ἀγών n-3f(1a) -- M n-3f(1a) ἀγω DS ἀγῶνι ἀγῶ νι ν+ι
ἀγών n-3f(1a) -- M n-3f(1a) ἀγω AS ἀγῶνα ἀγῶ να ν+α
ἀγωνία n-1a -- F n-1a ἀγωνι DS ἀγωνίᾳ ἀγωνί ᾳ α+ι
ἀγωνίζομαι verb PM M n-2a ἀγωνιζομεν NS ἀγωνιζόμενος ἀγωνιζόμεν ος ο+ς
ἀδάπανος a-3a -- N n-2c ἀδαπαν AS ἀδάπανον ἀδάπαν ον ο+ν
ἀδελφή n-1b -- F n-1b ἀδελφ NS ἀδελφή ἀδελφ ή η+
ἀδελφή n-1b -- F n-1b ἀδελφ GS ἀδελφῆς ἀδελφ ῆς η+ς
ἀδελφή n-1b -- F n-1b ἀδελφ DS ἀδελφῇ ἀδελφ ῇ η+ι
ἀδελφή n-1b -- F n-1b ἀδελφ AS ἀδελφήν ἀδελφ ήν η+ν
ἀδελφή n-1b -- F n-1b ἀδελφ NP ἀδελφαί ἀδελφ αί α+ι
ἀδελφή n-1b -- F n-1b ἀδελφ AP ἀδελφάς ἀδελφ άς α+νς
ἀδελφός n-2a -- M n-2a ἀδελφ NS ἀδελφός ἀδελφ ός ο+ς
ἀδελφός n-2a -- M n-2a ἀδελφ GS ἀδελφοῦ ἀδελφ οῦ ο+ιο
ἀδελφός n-2a -- M n-2a ἀδελφ DS ἀδελφῷ ἀδελφ ῷ ο+ι
ἀδελφός n-2a -- M n-2a ἀδελφ AS ἀδελφόν ἀδελφ όν ο+ν
ἀδελφός n-2a -- M n-2a ἀδελφ VS ἀδελφέ ἀδελφ έ ε+
ἀδελφός n-2a -- M n-2a ἀδελφ NP ἀδελφοί ἀδελφ οί ο+ι
ἀδελφός n-2a -- M n-2a ἀδελφ VP ἀδελφοί ἀδελφ οί ο+ι
ἀδελφός n-2a -- M n-2a ἀδελφ GP ἀδελφῶν ἀδελφ ῶν +ων
ἀδελφός n-2a -- M n-2a ἀδελφ DP ἀδελφοῖς ἀδελφ οῖς ο+ις
ἀδελφός n-2a -- M n-2a ἀδελφ AP ἀδελφούς ἀδελφ ούς ο+νς
ἀδελφότης n-3c(1) -- F n-3c(1) ἀδελφοτη DS ἀδελφότητι ἀδελφότη τι τ+ι
ἀδελφότης n-3c(1) -- F n-3c(1) ἀδελφοτη AS ἀδελφότητα ἀδελφότη τα τ+α
ἄδηλος a-3a -- F n-2b ἀδηλ AS ἄδηλον ἄδηλ ον ο+ν
ἄδηλος a-3a -- N n-2c ἀδηλ NP ἄδηλα ἄδηλ α α
ἀδηλότης n-3c(1) -- F n-3c(1) ἀδηλοτη DS ἀδηλότητι ἀδηλότη τι τ+ι
ἀδημονέω verb PA M n=3c(5b-OU) ἀδημον NS ἀδημονῶν ἀδημον ῶν ουντ+
ᾅδης n-1f -- M n-1f ᾁδ NS ᾅδης ᾅδ ης η+ς
